Frame Index,Elapsed Time,FPS,Width,Height,Puck Position X,Puck Position Y,Puck Position Alpha,Puck Velocity X,Puck Velocity Y,Puck Velocity Alpha,Mallet Position X,Mallet Position Y,Mallet Position Alpha,TableBoundary1X,TableBoundary1Y,TableBoundary2X,TableBoundary2Y,Boundary Collision X,Boundary Collision Y,Mallet Target X,Mallet Target Y,Mallet Current X,Mallet Current Y,Puck Radius,Serial - Mallet Target Location,Serial - Mallet Current Location
3710,12,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3711,14,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3712,11,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3713,13,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3714,13,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3715,10,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3716,17,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3717,10,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3718,10,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3719,9,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3720,11,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3721,14,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3722,12,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3723,10,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3724,13,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3725,10,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3726,15,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3727,12,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3728,11,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3729,13,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3730,10,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3731,11,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3732,11,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3733,11,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3734,12,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3735,10,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3736,11,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3737,11,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3738,12,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3739,10,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3740,13,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3741,11,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3742,14,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3743,10,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3744,13,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3745,13,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3746,10,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3747,12,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3748,8,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3749,13,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3750,12,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3751,11,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3752,12,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3753,10,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3754,11,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3755,23,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3756,14,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3757,11,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3758,14,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3759,11,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3760,13,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3761,10,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3762,17,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3763,14,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3764,13,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3765,12,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3766,11,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3767,14,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3768,12,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3769,10,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3770,13,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3771,12,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3772,10,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3773,10,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3774,14,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3775,10,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3776,15,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3777,10,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3778,13,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3779,9,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3780,14,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3781,12,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3782,10,60.00024000096,320,240,,,27,0,0,27,286,42,27,36,33,286,196,,,,,286,42,13,41,42
3783,15,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3784,10,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3785,11,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3786,11,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3787,10,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3788,12,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3789,13,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3790,9,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3791,10,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3792,13,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
3793,11,60.00024000096,320,240,,,27,0,0,27,285,41,27,36,33,286,196,,,,,285,41,13,41,41
