Frame Index,Elapsed Time,FPS,Width,Height,Puck Position X,Puck Position Y,Puck Position Alpha,Puck Velocity X,Puck Velocity Y,Puck Velocity Alpha,Mallet Position X,Mallet Position Y,Mallet Position Alpha,TableBoundary1X,TableBoundary1Y,TableBoundary2X,TableBoundary2Y,Boundary Collision X,Boundary Collision Y,Mallet Target X,Mallet Target Y,Mallet Current X,Mallet Current Y,Puck Radius,Serial - Mallet Target Location,Serial - Mallet Current Location
635,876,60.00024000096,320,240,,,27,0,0,27,285,142,27,0,0,0,0,,,,,285,142,13
636,893,60.00024000096,320,240,,,27,0,0,27,285,142,27,0,0,0,0,,,,,285,142,13
637,910,60.00024000096,320,240,,,27,0,0,27,285,142,27,0,0,0,0,,,,,285,142,13
638,929,60.00024000096,320,240,,,27,0,0,27,286,142,27,0,0,0,0,,,,,286,142,13
639,947,60.00024000096,320,240,,,27,0,0,27,286,143,27,0,0,0,0,,,,,286,143,13
640,967,60.00024000096,320,240,,,27,0,0,27,286,143,27,0,0,0,0,,,,,286,143,13
641,984,60.00024000096,320,240,,,27,0,0,27,286,142,27,0,0,0,0,,,,,286,142,13
642,5,60.00024000096,320,240,,,27,0,0,27,285,142,27,0,0,0,0,,,,,285,142,13
643,22,60.00024000096,320,240,,,27,0,0,27,285,142,27,0,0,0,0,,,,,285,142,13
644,42,60.00024000096,320,240,,,27,0,0,27,285,141,27,0,0,0,0,,,,,285,141,13
645,61,60.00024000096,320,240,,,27,0,0,27,286,141,27,0,0,0,0,,,,,286,141,13
646,78,60.00024000096,320,240,,,27,0,0,27,286,142,27,0,0,0,0,,,,,286,142,13
647,96,60.00024000096,320,240,,,27,0,0,27,286,142,27,0,0,0,0,,,,,286,142,13
648,113,60.00024000096,320,240,,,27,0,0,27,286,142,27,0,0,0,0,,,,,286,142,13
649,133,60.00024000096,320,240,,,27,0,0,27,286,142,27,0,0,0,0,,,,,286,142,13
650,153,60.00024000096,320,240,,,27,0,0,27,286,142,27,0,0,0,0,,,,,286,142,13
651,170,60.00024000096,320,240,,,27,0,0,27,286,142,27,0,0,0,0,,,,,286,142,13
652,190,60.00024000096,320,240,,,27,0,0,27,286,143,27,0,0,0,0,,,,,286,143,13
653,207,60.00024000096,320,240,,,27,0,0,27,286,142,27,0,0,0,0,,,,,286,142,13
