Frame Index,Elapsed Time,FPS,Width,Height,Puck Position X,Puck Position Y,Puck Position Alpha,Puck Velocity X,Puck Velocity Y,Puck Velocity Alpha,Mallet Position X,Mallet Position Y,Mallet Position Alpha,TableBoundary1X,TableBoundary1Y,TableBoundary2X,TableBoundary2Y,Boundary Collision X,Boundary Collision Y,Mallet Target X,Mallet Target Y,Mallet Current X,Mallet Current Y,Puck Radius,Serial - Mallet Target Location,Serial - Mallet Current Location
2948,9,60.00024000096,320,240,,,27,0,0,27,285,106,27,34,34,292,198,,,,,285,106,13
2949,13,60.00024000096,320,240,,,27,0,0,27,285,105,27,34,34,292,198,,,,,285,105,13,115,105
2950,10,60.00024000096,320,240,,,27,0,0,27,286,105,27,34,34,292,198,,,,,286,105,13,115,105
2951,8,60.00024000096,320,240,,,27,0,0,27,285,106,27,34,34,292,198,,,,,285,106,13
2952,50,60.00024000096,320,240,,,27,0,0,27,285,106,27,34,34,292,198,,,,,285,106,13,115,106
2953,14,60.00024000096,320,240,,,27,0,0,27,285,106,27,34,34,292,198,,,,,285,106,13,115,106
2954,9,60.00024000096,320,240,,,27,0,0,27,285,106,27,34,34,292,198,,,,,285,106,13
2955,13,60.00024000096,320,240,,,27,0,0,27,285,105,27,34,34,292,198,,,,,285,105,13,115,105
2956,11,60.00024000096,320,240,,,27,0,0,27,285,105,27,34,34,292,198,,,,,285,105,13,115,105
2957,12,60.00024000096,320,240,,,27,0,0,27,285,105,27,34,34,292,198,,,,,285,105,13
2958,12,60.00024000096,320,240,,,27,0,0,27,285,105,27,34,34,292,198,,,,,285,105,13,115,105
2959,16,60.00024000096,320,240,,,27,0,0,27,285,105,27,34,34,292,198,,,,,285,105,13,115,105
2960,16,60.00024000096,320,240,,,27,0,0,27,285,105,27,34,34,292,198,,,,,285,105,13,115,105
2961,12,60.00024000096,320,240,,,27,0,0,27,285,105,27,34,34,292,198,,,,,285,105,13,115,105
2962,12,60.00024000096,320,240,,,27,0,0,27,285,105,27,34,34,292,198,,,,,285,105,13,115,105
2963,11,60.00024000096,320,240,,,27,0,0,27,285,105,27,34,34,292,198,,,,,285,105,13,115,105
2964,10,60.00024000096,320,240,,,27,0,0,27,285,105,27,34,34,292,198,,,,,285,105,13
2965,16,60.00024000096,320,240,,,27,0,0,27,285,105,27,34,34,292,198,,,,,285,105,13,115,105
2966,10,60.00024000096,320,240,,,27,0,0,27,285,105,27,34,34,292,198,,,,,285,105,13,115,105
2967,12,60.00024000096,320,240,,,27,0,0,27,284,106,27,34,34,292,198,,,,,284,106,13
2968,12,60.00024000096,320,240,,,27,0,0,27,285,105,27,34,34,292,198,,,,,285,105,13,115,105
2969,13,60.00024000096,320,240,,,27,0,0,27,285,106,27,34,34,292,198,,,,,285,106,13,115,106
2970,12,60.00024000096,320,240,,,27,0,0,27,285,106,27,34,34,292,198,,,,,285,106,13,115,106
2971,12,60.00024000096,320,240,,,27,0,0,27,285,106,27,34,34,292,198,,,,,285,106,13,115,106
2972,8,60.00024000096,320,240,,,27,0,0,27,285,106,27,34,34,292,198,,,,,285,106,13
2973,14,60.00024000096,320,240,,,27,0,0,27,285,105,27,34,34,292,198,,,,,285,105,13,115,105
2974,14,60.00024000096,320,240,,,27,0,0,27,285,105,27,34,34,292,198,,,,,285,105,13,115,105
2975,10,60.00024000096,320,240,,,27,0,0,27,284,105,27,34,34,292,198,,,,,284,105,13
2976,10,60.00024000096,320,240,,,27,0,0,27,285,105,27,34,34,292,198,,,,,285,105,13,115,105
2977,13,60.00024000096,320,240,,,27,0,0,27,285,105,27,34,34,292,198,,,,,285,105,13,115,105
2978,9,60.00024000096,320,240,,,27,0,0,27,285,105,27,34,34,292,198,,,,,285,105,13
2979,14,60.00024000096,320,240,,,27,0,0,27,285,105,27,34,34,292,198,,,,,285,105,13,115,105
2980,11,60.00024000096,320,240,,,27,0,0,27,285,105,27,34,34,292,198,,,,,285,105,13,115,105
2981,11,60.00024000096,320,240,,,27,0,0,27,285,105,27,34,34,292,198,,,,,285,105,13
2982,10,60.00024000096,320,240,,,27,0,0,27,285,105,27,34,34,292,198,,,,,285,105,13,115,105
2983,13,60.00024000096,320,240,,,27,0,0,27,286,105,27,34,34,292,198,,,,,286,105,13,115,105
2984,10,60.00024000096,320,240,,,27,0,0,27,286,105,27,34,34,292,198,,,,,286,105,13
2985,10,60.00024000096,320,240,,,27,0,0,27,285,105,27,34,34,292,198,,,,,285,105,13,115,105
2986,13,60.00024000096,320,240,,,27,0,0,27,285,105,27,34,34,292,198,,,,,285,105,13,115,105
2987,10,60.00024000096,320,240,,,27,0,0,27,285,106,27,34,34,292,198,,,,,285,106,13
2988,14,60.00024000096,320,240,,,27,0,0,27,286,105,27,34,34,292,198,,,,,286,105,13,115,105
2989,14,60.00024000096,320,240,,,27,0,0,27,286,105,27,34,34,292,198,,,,,286,105,13,115,105
2990,10,60.00024000096,320,240,,,27,0,0,27,286,105,27,34,34,292,198,,,,,286,105,13
