Frame Index,Elapsed Time,FPS,Width,Height,Puck Position X,Puck Position Y,Puck Position Alpha,Puck Velocity X,Puck Velocity Y,Puck Velocity Alpha,Mallet Position X,Mallet Position Y,Mallet Position Alpha,TableBoundary1X,TableBoundary1Y,TableBoundary2X,TableBoundary2Y,Boundary Collision X,Boundary Collision Y,Mallet Target X,Mallet Target Y,Mallet Current X,Mallet Current Y,Puck Radius,Serial - Mallet Target Location,Serial - Mallet Current Location
2851,16,60.00024000096,320,240,,,27,0,0,27,282,48,27,36,33,292,196,,,,,282,48,13,99,48
2852,11,60.00024000096,320,240,,,27,0,0,27,282,47,27,36,33,292,196,,,,,282,47,13,99,47
2853,11,60.00024000096,320,240,,,27,0,0,27,282,47,27,36,33,292,196,,,,,282,47,13
2854,12,60.00024000096,320,240,,,27,0,0,27,282,47,27,36,33,292,196,,,,,282,47,13,99,47
2855,13,60.00024000096,320,240,,,27,0,0,27,283,47,27,36,33,292,196,,,,,283,47,13,99,47
2856,11,60.00024000096,320,240,,,27,0,0,27,283,48,27,36,33,292,196,,,,,283,48,13
2857,10,60.00024000096,320,240,,,27,0,0,27,282,48,27,36,33,292,196,,,,,282,48,13,99,48
2858,12,60.00024000096,320,240,,,27,0,0,27,282,48,27,36,33,292,196,,,,,282,48,13,99,48
2859,10,60.00024000096,320,240,,,27,0,0,27,282,48,27,36,33,292,196,,,,,282,48,13
2860,10,60.00024000096,320,240,,,27,0,0,27,282,47,27,36,33,292,196,,,,,282,47,13,99,47
2861,12,60.00024000096,320,240,,,27,0,0,27,282,47,27,36,33,292,196,,,,,282,47,13,99,47
2862,7,60.00024000096,320,240,,,27,0,0,27,282,47,27,36,33,292,196,,,,,282,47,13
2863,10,60.00024000096,320,240,,,27,0,0,27,282,48,27,36,33,292,196,,,,,282,48,13,99,48
2864,7,60.00024000096,320,240,,,27,0,0,27,282,48,27,36,33,292,196,,,,,282,48,13
2865,14,60.00024000096,320,240,,,27,0,0,27,282,48,27,36,33,292,196,,,,,282,48,13,99,48
2866,11,60.00024000096,320,240,,,27,0,0,27,282,47,27,36,33,292,196,,,,,282,47,13,99,47
2867,10,60.00024000096,320,240,,,27,0,0,27,282,47,27,36,33,292,196,,,,,282,47,13
2868,10,60.00024000096,320,240,,,27,0,0,27,282,46,27,36,33,292,196,,,,,282,46,13,99,46
2869,12,60.00024000096,320,240,,,27,0,0,27,282,46,27,36,33,292,196,,,,,282,46,13,99,46
2870,8,60.00024000096,320,240,,,27,0,0,27,282,46,27,36,33,292,196,,,,,282,46,13
2871,12,60.00024000096,320,240,,,27,0,0,27,282,46,27,36,33,292,196,,,,,282,46,13,99,46
2872,12,60.00024000096,320,240,,,27,0,0,27,282,47,27,36,33,292,196,,,,,282,47,13,99,47
2873,8,60.00024000096,320,240,,,27,0,0,27,281,47,27,36,33,292,196,,,,,281,47,13
2874,14,60.00024000096,320,240,,,27,0,0,27,281,47,27,36,33,292,196,,,,,281,47,13,99,47
2875,10,60.00024000096,320,240,,,27,0,0,27,281,47,27,36,33,292,196,,,,,281,47,13,99,47
2876,18,60.00024000096,320,240,,,27,0,0,27,282,47,27,36,33,292,196,,,,,282,47,13,99,47
2877,12,60.00024000096,320,240,,,27,0,0,27,282,47,27,36,33,292,196,,,,,282,47,13,99,47
2878,9,60.00024000096,320,240,,,27,0,0,27,281,47,27,36,33,292,196,,,,,281,47,13
2879,13,60.00024000096,320,240,,,27,0,0,27,281,47,27,36,33,292,196,,,,,281,47,13,99,47
2880,10,60.00024000096,320,240,,,27,0,0,27,281,47,27,36,33,292,196,,,,,281,47,13,99,47
2881,8,60.00024000096,320,240,,,27,0,0,27,281,47,27,36,33,292,196,,,,,281,47,13
2882,9,60.00024000096,320,240,,,27,0,0,27,281,47,27,36,33,292,196,,,,,281,47,13,99,47
2883,11,60.00024000096,320,240,,,27,0,0,27,281,47,27,36,33,292,196,,,,,281,47,13
2884,11,60.00024000096,320,240,,,27,0,0,27,281,47,27,36,33,292,196,,,,,281,47,13,99,47
2885,13,60.00024000096,320,240,,,27,0,0,27,281,47,27,36,33,292,196,,,,,281,47,13,99,47
2886,10,60.00024000096,320,240,,,27,0,0,27,282,47,27,36,33,292,196,,,,,282,47,13,99,47
2887,12,60.00024000096,320,240,,,27,0,0,27,282,48,27,36,33,292,196,,,,,282,48,13
2888,10,60.00024000096,320,240,,,27,0,0,27,283,48,27,36,33,292,196,,,,,283,48,13,99,48
2889,13,60.00024000096,320,240,,,27,0,0,27,283,48,27,36,33,292,196,,,,,283,48,13,99,48
2890,10,60.00024000096,320,240,,,27,0,0,27,282,48,27,36,33,292,196,,,,,282,48,13
2891,10,60.00024000096,320,240,,,27,0,0,27,282,48,27,36,33,292,196,,,,,282,48,13,99,48
2892,13,60.00024000096,320,240,,,27,0,0,27,282,48,27,36,33,292,196,,,,,282,48,13,99,48
2893,11,60.00024000096,320,240,,,27,0,0,27,283,47,27,36,33,292,196,,,,,283,47,13
2894,15,60.00024000096,320,240,,,27,0,0,27,282,47,27,36,33,292,196,,,,,282,47,13,99,47
2895,13,60.00024000096,320,240,,,27,0,0,27,283,47,27,36,33,292,196,,,,,283,47,13,99,47
2896,10,60.00024000096,320,240,,,27,0,0,27,282,47,27,36,33,292,196,,,,,282,47,13,99,47
2897,14,60.00024000096,320,240,,,27,0,0,27,282,47,27,36,33,292,196,,,,,282,47,13,99,47
2898,8,60.00024000096,320,240,,,27,0,0,27,282,47,27,36,33,292,196,,,,,282,47,13
