Frame Index,Elapsed Time,FPS,Width,Height,Puck Position X,Puck Position Y,Puck Position Alpha,Puck Velocity X,Puck Velocity Y,Puck Velocity Alpha,Mallet Position X,Mallet Position Y,Mallet Position Alpha,TableBoundary1X,TableBoundary1Y,TableBoundary2X,TableBoundary2Y,Boundary Collision X,Boundary Collision Y,Mallet Target X,Mallet Target Y,Mallet Current X,Mallet Current Y,Puck Radius,Serial - Mallet Target Location,Serial - Mallet Current Location
14152,63595534510817.1,60.00024000096,320,240,33,51,27,0,0,27,284,135,27,35,33,288,196,275,136,275,136,284,135,13,136,135
14153,63595534510842.1,60.00024000096,320,240,33,51,27,0,0,27,284,135,27,35,33,288,196,275,136,275,136,284,135,13,136,135
14154,63595534510869.1,60.00024000096,320,240,33,51,27,0,0,27,284,135,27,35,33,288,196,275,136,275,136,284,135,13,136,135
14155,63595534510895.1,60.00024000096,320,240,33,51,27,0,0,27,285,136,27,35,33,288,196,275,136,275,136,285,136,13,136,136
14156,63595534510915.1,60.00024000096,320,240,33,51,27,0,0,27,285,136,27,35,33,288,196,275,136,275,136,285,136,13,136,136
14157,63595534510940.1,60.00024000096,320,240,33,51,27,0,0,27,285,137,27,35,33,288,196,275,136,275,136,285,137,13,136,137
14158,63595534510961.1,60.00024000096,320,240,33,51,27,0,0,27,285,137,27,35,33,288,196,275,136,275,136,285,137,13,136,137
14159,63595534510986.1,60.00024000096,320,240,34,52,27,0,0,27,285,137,27,35,33,288,196,275,136,275,136,285,137,13,136,137
14160,63595534511013.1,60.00024000096,320,240,33,51,27,0,0,27,284,137,27,35,33,288,196,275,136,275,136,284,137,13,136,137
14161,63595534511035.1,60.00024000096,320,240,33,51,27,0,0,27,284,137,27,35,33,288,196,275,136,275,136,284,137,13,136,137
14162,63595534511063.1,60.00024000096,320,240,33,51,27,0,0,27,285,137,27,35,33,288,196,275,136,275,136,285,137,13,136,137
14163,63595534511084.1,60.00024000096,320,240,33,51,27,0,0,27,285,137,27,35,33,288,196,275,136,275,136,285,137,13,136,137
14164,63595534511108.1,60.00024000096,320,240,33,51,27,0,0,27,285,136,27,35,33,288,196,275,136,275,136,285,136,13,136,136
14165,63595534511139.1,60.00024000096,320,240,33,51,27,0,0,27,284,137,27,35,33,288,196,275,136,275,136,284,137,13,136,137
14166,63595534511157.1,60.00024000096,320,240,33,51,27,0,0,27,284,137,27,35,33,288,196,275,136,275,136,284,137,13,136,137
14167,63595534511179.1,60.00024000096,320,240,33,51,27,0,0,27,284,137,27,35,33,288,196,275,136,275,136,284,137,13,136,137
14168,63595534511198.1,60.00024000096,320,240,33,51,27,0,0,27,284,136,27,35,33,288,196,275,136,275,136,284,136,13,136,136
14169,63595534511217.1,60.00024000096,320,240,33,51,27,0,0,27,284,136,27,35,33,288,196,275,136,275,136,284,136,13,136,136
14170,63595534511235.1,60.00024000096,320,240,33,51,27,0,0,27,283,136,27,35,33,288,196,275,136,275,136,283,136,13,136,136
14171,63595534511258.1,60.00024000096,320,240,33,51,27,0,0,27,283,136,27,35,33,288,196,275,136,275,136,283,136,13,136,136
14172,63595534511279.1,60.00024000096,320,240,33,51,27,0,0,27,283,136,27,35,33,288,196,275,136,275,136,283,136,13,136,136
14173,63595534511300.1,60.00024000096,320,240,33,51,27,0,0,27,283,136,27,35,33,288,196,275,136,275,136,283,136,13,136,136
14174,63595534511321.1,60.00024000096,320,240,34,52,27,0,0,27,283,136,27,35,33,288,196,275,136,275,136,283,136,13,136,136
14175,63595534511344.1,60.00024000096,320,240,33,51,27,0,0,27,283,136,27,35,33,288,196,275,136,275,136,283,136,13,136,136
14176,63595534511362.1,60.00024000096,320,240,33,51,27,0,0,27,283,136,27,35,33,288,196,275,136,275,136,283,136,13,136,136
14177,63595534511383.1,60.00024000096,320,240,33,51,27,0,0,27,283,136,27,35,33,288,196,275,136,275,136,283,136,13,136,136
14178,63595534511404.1,60.00024000096,320,240,33,51,27,0,0,27,283,136,27,35,33,288,196,275,136,275,136,283,136,13,136,136
14179,63595534511423.1,60.00024000096,320,240,33,51,27,0,0,27,283,136,27,35,33,288,196,275,136,275,136,283,136,13,136,136
14180,63595534511444.1,60.00024000096,320,240,33,51,27,0,0,27,283,136,27,35,33,288,196,275,136,275,136,283,136,13,136,136
14181,63595534511466.1,60.00024000096,320,240,33,51,27,0,0,27,283,136,27,35,33,288,196,275,136,275,136,283,136,13,136,136
14182,63595534511487.1,60.00024000096,320,240,33,51,27,0,0,27,283,136,27,35,33,288,196,275,136,275,136,283,136,13,136,136
14183,63595534511508.1,60.00024000096,320,240,33,51,27,0,0,27,283,136,27,35,33,288,196,275,136,275,136,283,136,13,136,136
14184,63595534511526.1,60.00024000096,320,240,33,51,27,0,0,27,283,135,27,35,33,288,196,275,136,275,136,283,135,13,136,135
14185,63595534511549.1,60.00024000096,320,240,33,51,27,0,0,27,283,136,27,35,33,288,196,275,136,275,136,283,136,13,136,136
14186,63595534511568.1,60.00024000096,320,240,33,51,27,0,0,27,283,136,27,35,33,288,196,275,136,275,136,283,136,13,136,136
14187,63595534511588.1,60.00024000096,320,240,33,51,27,0,0,27,283,135,27,35,33,288,196,275,136,275,136,283,135,13,136,135
14188,63595534511608.1,60.00024000096,320,240,33,51,27,0,0,27,283,136,27,35,33,288,196,275,136,275,136,283,136,13,136,136
14189,63595534511630.1,60.00024000096,320,240,33,51,27,0,0,27,284,136,27,35,33,288,196,275,136,275,136,284,136,13,136,136
14190,63595534511650.1,60.00024000096,320,240,33,51,27,0,0,27,284,135,27,35,33,288,196,275,136,275,136,284,135,13,136,135
14191,63595534511677.1,60.00024000096,320,240,33,51,27,0,0,27,284,135,27,35,33,288,196,275,136,275,136,284,135,13,136,135
14192,63595534511697.1,60.00024000096,320,240,33,51,27,0,0,27,284,136,27,35,33,288,196,275,136,275,136,284,136,13,136,136
14193,63595534511720.1,60.00024000096,320,240,33,51,27,0,0,27,284,136,27,35,33,288,196,275,136,275,136,284,136,13,136,136
14194,63595534511739.1,60.00024000096,320,240,33,51,27,0,0,27,284,136,27,35,33,288,196,275,136,275,136,284,136,13,136,136
14195,63595534511761.1,60.00024000096,320,240,33,51,27,0,0,27,284,136,27,35,33,288,196,275,136,275,136,284,136,13,136,136
14196,63595534511781.1,60.00024000096,320,240,33,51,27,0,0,27,285,136,27,35,33,288,196,275,136,275,136,285,136,13,136,136
14197,63595534511801.1,60.00024000096,320,240,33,52,27,0,0,27,285,137,27,35,33,288,196,275,136,275,136,285,137,13,136,137
14198,63595534511823.1,60.00024000096,320,240,33,51,27,0,0,27,285,137,27,35,33,288,196,275,136,275,136,285,137,13,136,137
14199,63595534511844.1,60.00024000096,320,240,33,51,27,0,0,27,285,136,27,35,33,288,196,275,136,275,136,285,136,13,136,136
14200,63595534511869.1,60.00024000096,320,240,33,51,27,0,0,27,284,136,27,35,33,288,196,275,136,275,136,284,136,13,136,136
14201,63595534511891.1,60.00024000096,320,240,33,51,27,0,0,27,285,136,27,35,33,288,196,275,136,275,136,285,136,13,136,136
14202,63595534511910.1,60.00024000096,320,240,33,51,27,0,0,27,285,136,27,35,33,288,196,275,136,275,136,285,136,13,136,136
14203,63595534511931.1,60.00024000096,320,240,33,51,27,0,0,27,285,135,27,35,33,288,196,275,136,275,136,285,135,13,136,135
