Frame Index,Elapsed Time,FPS,Width,Height,Puck Position X,Puck Position Y,Puck Position Alpha,Puck Velocity X,Puck Velocity Y,Puck Velocity Alpha,Mallet Position X,Mallet Position Y,Mallet Position Alpha,TableBoundary1X,TableBoundary1Y,TableBoundary2X,TableBoundary2Y,Boundary Collision X,Boundary Collision Y,Mallet Target X,Mallet Target Y,Mallet Current X,Mallet Current Y,Puck Radius,Serial - Mallet Target Location,Serial - Mallet Current Location
2036,63595544404981,60.00024000096,320,240,,,27,0,0,27,304,105,27,57,37,288,200,,,,,304,105,13,0,105
2037,63595544405000,60.00024000096,320,240,,,27,0,0,27,304,105,27,57,37,288,200,,,,,304,105,13,0,105
2038,63595544405016,60.00024000096,320,240,,,27,0,0,27,305,105,27,57,37,288,200,,,,,305,105,13,0,105
2039,63595544405035,60.00024000096,320,240,,,27,0,0,27,304,105,27,57,37,288,200,,,,,304,105,13,0,105
2040,63595544405055,60.00024000096,320,240,,,27,0,0,27,304,104,27,57,37,288,200,,,,,304,104,13,0,104
2041,63595544405071,60.00024000096,320,240,,,27,0,0,27,304,104,27,57,37,288,200,,,,,304,104,13,0,104
2042,63595544405090,60.00024000096,320,240,,,27,0,0,27,304,105,27,57,37,288,200,,,,,304,105,13,0,105
2043,63595544405108,60.00024000096,320,240,,,27,0,0,27,304,105,27,57,37,288,200,,,,,304,105,13,0,105
2044,63595544405124,60.00024000096,320,240,,,27,0,0,27,304,105,27,57,37,288,200,,,,,304,105,13,0,105
2045,63595544405140,60.00024000096,320,240,,,27,0,0,27,304,105,27,57,37,288,200,,,,,304,105,13,0,105
2046,63595544405158,60.00024000096,320,240,,,27,0,0,27,304,105,27,57,37,288,200,,,,,304,105,13,0,105
2047,63595544405173,60.00024000096,320,240,,,27,0,0,27,304,104,27,57,37,288,200,,,,,304,104,13,0,104
2048,63595544405192,60.00024000096,320,240,,,27,0,0,27,304,104,27,57,37,288,200,,,,,304,104,13,0,104
2049,63595544405217,60.00024000096,320,240,,,27,0,0,27,304,105,27,57,37,288,200,,,,,304,105,13,0,105
2050,63595544405236,60.00024000096,320,240,,,27,0,0,27,304,105,27,57,37,288,200,,,,,304,105,13,0,105
2051,63595544405254,60.00024000096,320,240,,,27,0,0,27,304,105,27,57,37,288,200,,,,,304,105,13,0,105
2052,63595544405272,60.00024000096,320,240,,,27,0,0,27,304,105,27,57,37,288,200,,,,,304,105,13,0,105
2053,63595544405289,60.00024000096,320,240,,,27,0,0,27,304,105,27,57,37,288,200,,,,,304,105,13,0,105
2054,63595544405305,60.00024000096,320,240,,,27,0,0,27,304,105,27,57,37,288,200,,,,,304,105,13,0,105
2055,63595544405323,60.00024000096,320,240,,,27,0,0,27,304,105,27,57,37,288,200,,,,,304,105,13,0,105
2056,63595544405339,60.00024000096,320,240,,,27,0,0,27,304,105,27,57,37,288,200,,,,,304,105,13,0,105
2057,63595544405359,60.00024000096,320,240,,,27,0,0,27,304,105,27,57,37,288,200,,,,,304,105,13,0,105
2058,63595544405378,60.00024000096,320,240,,,27,0,0,27,303,105,27,57,37,288,200,,,,,303,105,13,0,105
2059,63595544405394,60.00024000096,320,240,,,27,0,0,27,303,105,27,57,37,288,200,,,,,303,105,13,0,105
2060,63595544405412,60.00024000096,320,240,,,27,0,0,27,303,105,27,57,37,288,200,,,,,303,105,13,0,105
2061,63595544405428,60.00024000096,320,240,,,27,0,0,27,303,105,27,57,37,288,200,,,,,303,105,13,0,105
2062,63595544405443,60.00024000096,320,240,,,27,0,0,27,304,105,27,57,37,288,200,,,,,304,105,13,0,105
2063,63595544405460,60.00024000096,320,240,,,27,0,0,27,304,105,27,57,37,288,200,,,,,304,105,13,0,105
2064,63595544405478,60.00024000096,320,240,,,27,0,0,27,304,105,27,57,37,288,200,,,,,304,105,13,0,105
2065,63595544405500,60.00024000096,320,240,,,27,0,0,27,304,105,27,57,37,288,200,,,,,304,105,13,0,105
2066,63595544405522,60.00024000096,320,240,,,27,0,0,27,303,105,27,57,37,288,200,,,,,303,105,13,0,105
2067,63595544405542,60.00024000096,320,240,,,27,0,0,27,303,105,27,57,37,288,200,,,,,303,105,13,0,105
2068,63595544405562,60.00024000096,320,240,,,27,0,0,27,303,105,27,57,37,288,200,,,,,303,105,13,0,105
2069,63595544405580,60.00024000096,320,240,,,27,0,0,27,304,105,27,57,37,288,200,,,,,304,105,13,0,105
2070,63595544405601,60.00024000096,320,240,,,27,0,0,27,304,105,27,57,37,288,200,,,,,304,105,13,0,105
2071,63595544405622,60.00024000096,320,240,,,27,0,0,27,304,105,27,57,37,288,200,,,,,304,105,13,0,105
2072,63595544405645,60.00024000096,320,240,,,27,0,0,27,304,105,27,57,37,288,200,,,,,304,105,13,0,105
2073,63595544405663,60.00024000096,320,240,,,27,0,0,27,304,105,27,57,37,288,200,,,,,304,105,13,0,105
2074,63595544405679,60.00024000096,320,240,,,27,0,0,27,304,105,27,57,37,288,200,,,,,304,105,13,0,105
